@relation 

@attribute id_or string
@attribute filename_or string

@data
656548,OR400.txt
334866,OR401.txt
6873758,OR402.txt
20016863,OR403.txt
21663274,OR404.txt
7141572,OR405.txt
12545216,OR406.txt
33674235,OR407.txt
1933163,OR408.txt
171513,OR409.txt
1284599,OR410.txt
8691,OR411.txt
34034336,OR412.txt
7346281,OR413.txt
15408784,OR414.txt
18367052,OR415.txt
4731525,OR416.txt
3759894,OR417.txt
5138499,OR418.txt
36915,OR419.txt
15517373,OR420.txt
1196080,OR421.txt
228222,OR422.txt
23564158,OR423.txt
24426501,OR424.txt
5330195,OR425.txt
31025090,OR426.txt
3626920,OR427.txt
17479962,OR428.txt
12800936,OR429.txt
6063583,OR430.txt
1272412,OR431.txt
3884751,OR432.txt
28426553,OR433.txt
3596415,OR434.txt
3799135,OR435.txt
7330603,OR436.txt
1350606,OR437.txt
26145413,OR438.txt
1344871,OR439.txt
1148322,OR440.txt
16569996,OR441.txt
236691,OR442.txt
29717507,OR443.txt
2364469,OR444.txt
3441798,OR445.txt
6052271,OR446.txt
10174907,OR447.txt
2156591,OR448.txt
32770401,OR449.txt
5829296,OR450.txt
3735392,OR451.txt
1364228,OR452.txt
2836735,OR453.txt
4032123,OR454.txt
392400,OR455.txt
3377385,OR456.txt
2338651,OR457.txt
19285762,OR458.txt
6086298,OR459.txt
2829314,OR460.txt
9729176,OR461.txt
7513486,OR462.txt
338825,OR463.txt
7315524,OR464.txt
12952226,OR465.txt
685274,OR466.txt
2110804,OR467.txt
591613,OR468.txt
1495511,OR469.txt
33661800,OR470.txt
3850023,OR471.txt
1065970,OR472.txt
963092,OR473.txt
1345214,OR474.txt
133032,OR475.txt
695746,OR476.txt
18774910,OR477.txt
1605491,OR478.txt
5031366,OR479.txt
507908,OR480.txt
6352415,OR481.txt
7830523,OR482.txt
14870999,OR483.txt
7354999,OR484.txt
7291928,OR485.txt
3981835,OR486.txt
1454935,OR487.txt
3280815,OR488.txt
1958962,OR489.txt
2883627,OR490.txt
8131406,OR491.txt
8296276,OR492.txt
6864246,OR493.txt
6609334,OR494.txt
9336627,OR495.txt
14790204,OR496.txt
7069697,OR497.txt
31963932,OR498.txt
2289439,OR499.txt
2389725,OR500.txt
1283725,OR501.txt
3617404,OR502.txt
1224378,OR503.txt
393539,OR504.txt
4338033,OR505.txt
