@relation 

@attribute id_nf string
@attribute filename_nf string

@data
11121836,NF355.txt
7993135,NF356.txt
26997441,NF357.txt
2422151,NF358.txt
14915114,NF359.txt
2994054,NF360.txt
32954659,NF361.txt
20439548,NF362.txt
329083,NF363.txt
6311838,NF364.txt
24632742,NF365.txt
11647983,NF366.txt
1988666,NF367.txt
11447880,NF368.txt
22481133,NF369.txt
17339025,NF370.txt
10041766,NF371.txt
1194039,NF372.txt
7880648,NF373.txt
1075095,NF374.txt
11485542,NF375.txt
7464536,NF376.txt
31308546,NF377.txt
1461718,NF378.txt
31683760,NF379.txt
24396481,NF380.txt
784963,NF381.txt
4138968,NF382.txt
29018001,NF383.txt
27241164,NF384.txt
23537,NF385.txt
16996062,NF386.txt
27898731,NF387.txt
2708911,NF388.txt
3586722,NF389.txt
27871663,NF390.txt
2225982,NF391.txt
7019001,NF392.txt
13174626,NF393.txt
9195593,NF394.txt
21389585,NF395.txt
20104674,NF396.txt
18769182,NF397.txt
5795787,NF398.txt
12119947,NF399.txt
8848622,NF400.txt
524851,NF401.txt
8006830,NF402.txt
20501212,NF403.txt
881173,NF404.txt
8287327,NF405.txt
382347,NF406.txt
1356778,NF407.txt
27952985,NF408.txt
492801,NF409.txt
10875123,NF410.txt
3311397,NF411.txt
3755541,NF412.txt
15183622,NF413.txt
27510666,NF414.txt
15656695,NF415.txt
1366489,NF416.txt
2207087,NF417.txt
27736108,NF418.txt
23202451,NF419.txt
1735697,NF420.txt
5491702,NF421.txt
21891532,NF422.txt
17504668,NF423.txt
2427938,NF424.txt
2066952,NF425.txt
8878228,NF426.txt
76078,NF427.txt
8208619,NF428.txt
26861186,NF429.txt
28330551,NF430.txt
5157123,NF431.txt
17704686,NF432.txt
9165961,NF433.txt
3262903,NF434.txt
1126723,NF435.txt
21911789,NF436.txt
29406367,NF437.txt
28114705,NF438.txt
30542266,NF439.txt
24438572,NF440.txt
8679819,NF441.txt
1856119,NF442.txt
5963236,NF443.txt
16302961,NF444.txt
7303367,NF445.txt
27976609,NF446.txt
17584306,NF447.txt
3692784,NF448.txt
2394635,NF449.txt
6057797,NF450.txt
3919684,NF451.txt
12000171,NF452.txt
12331428,NF453.txt
28380206,NF454.txt
1727511,NF455.txt
6434522,NF456.txt
24061959,NF457.txt
11263076,NF458.txt
7883570,NF459.txt
21677008,NF460.txt
7819295,NF461.txt
26639402,NF462.txt
890393,NF463.txt
33089223,NF464.txt
5161394,NF465.txt
2688126,NF466.txt
7345602,NF467.txt
1297072,NF468.txt
123004,NF469.txt
4434049,NF470.txt
5338879,NF471.txt
20362108,NF472.txt
2686462,NF473.txt
1612996,NF474.txt
316253,NF475.txt
2971463,NF476.txt
13131075,NF477.txt
16722005,NF478.txt
8421915,NF479.txt
4498033,NF480.txt
5564604,NF481.txt
945280,NF482.txt
29260461,NF483.txt
10378850,NF484.txt
3101237,NF485.txt
13225989,NF486.txt
18395815,NF487.txt
15937050,NF488.txt
15936595,NF489.txt
2497383,NF490.txt
15822027,NF491.txt
8898694,NF492.txt
14352745,NF493.txt
10396114,NF494.txt
2996161,NF495.txt
23519550,NF496.txt
20195649,NF497.txt
32859788,NF498.txt
480014,NF499.txt
27642446,NF500.txt
6153707,NF501.txt
3823666,NF502.txt
18910186,NF503.txt
13797170,NF504.txt
7232749,NF505.txt
13775757,NF506.txt
5403269,NF507.txt
22087927,NF508.txt
6754060,NF509.txt
6002,NF510.txt
26914028,NF511.txt
5243967,NF512.txt
124977,NF513.txt
18908510,NF514.txt
26436,NF515.txt
17354016,NF516.txt
10183668,NF517.txt
35135,NF518.txt
19298444,NF519.txt
11080315,NF520.txt
14204137,NF521.txt
2211924,NF522.txt
16020900,NF523.txt
33100626,NF524.txt
5222199,NF525.txt
13634013,NF526.txt
5369074,NF527.txt
10043324,NF528.txt
4238602,NF529.txt
8345159,NF530.txt
23343700,NF531.txt
4377174,NF532.txt
1108299,NF533.txt
13801445,NF534.txt
